date,title,channel,section,counted_because,ai_mentions,url
2023-04-07,A.I. Pop Culture Is Already Here,online,culture,tag,19,https://www.newyorker.com/culture/infinite-scroll/ai-pop-culture-is-already-here
2023-04-13,What Kind of Mind Does ChatGPT Have?,online,science,tag,41,https://www.newyorker.com/science/annals-of-artificial-intelligence/what-kind-of-mind-does-chatgpt-have
2023-04-17,JooHee Yoon’s “Drawing Hands with A.I. (After M. C. Escher)”,online,culture,tag,7,https://www.newyorker.com/culture/cover-story/cover-story-2023-04-24
2023-04-17,How Much Can Duolingo Teach Us?,print,magazine,text (12 mentions),12,https://www.newyorker.com/magazine/2023/04/24/how-much-can-duolingo-teach-us
2023-04-20,There Is No A.I.,online,science,tag,38,https://www.newyorker.com/science/annals-of-artificial-intelligence/there-is-no-ai
2023-05-04,Will A.I. Become the New McKinsey?,online,science,tag,47,https://www.newyorker.com/science/annals-of-artificial-intelligence/will-ai-become-the-new-mckinsey
2023-05-08,A Photographer Embraces the Alien Logic of A.I.,online,culture,tag,12,https://www.newyorker.com/culture/photo-booth/a-photographer-embraces-the-alien-logic-of-ai
2023-05-16,Can We Stop Runaway A.I.?,online,science,tag,80,https://www.newyorker.com/science/annals-of-artificial-intelligence/can-we-stop-the-singularity
2023-05-20,"Congress Really Wants to Regulate A.I., but No One Seems to Know How",online,news,tag,20,https://www.newyorker.com/news/daily-comment/congress-really-wants-to-regulate-ai-but-no-one-seems-to-know-how
2023-05-26,"An A.I.-Generated Film Depicts Human Loneliness, in “Thank You for Not Answering”",online,culture,tag,9,https://www.newyorker.com/culture/screening-room/an-ai-generated-film-depicts-human-loneliness-in-thank-you-for-not-answering
2023-06-02,"Should We, and Can We, Put the Brakes on Artificial Intelligence?",online,podcast,tag,6,https://www.newyorker.com/podcast/the-new-yorker-radio-hour/should-we-and-can-we-put-the-brakes-on-artificial-intelligence
